creer	A	4	8	;
creer	B	4	5	;
creer	C	3	4	;
creer	D	8	4	;
creer	E	5	4	;
creer	F	2	7	;
creer	G	3	3	;
creer	H	6	5	;
creer	I	5	6	;
creer	J	6	6	;
creer	K	2	4	;
creer	L	6	0	;
creer	M	3	2	;
creer	N	5	7	;
creer	O	7	4	;
creer	P	4	4	;
creer	Q	5	0	;
creer	R	7	8	;
creer	S	6	6	;
creer	T	4	6	;
creer	U	0	6	;
creer	V	7	6	;
creer	W	3	5	;
creer	X	3	2	;
creer	Y	7	4	;
creer	Z	6	5	;
reserver 	B	Z	1j_10h00m	2j_02h00m	;
reserver 	X	Q	2j_17h00m	4j_10h00m	;
reserver 	L	Q	4j_16h00m	6j_02h00m	;
reserver 	A	S	7j_06h00m	8j_10h00m	;
reserver 	A	I	9j_01h00m	10j_17h00m	;
reserver 	U	K	12j_11h00m	13j_10h00m	;
reserver 	Z	U	14j_13h00m	16j_03h00m	;
reserver 	T	Y	16j_05h00m	17j_14h00m	;
reserver 	A	Y	19j_12h00m	20j_10h00m	;
reserver 	J	X	20j_16h00m	21j_09h00m	;
reserver 	N	E	22j_07h00m	24j_02h00m	;
reserver 	W	H	24j_05h00m	25j_17h00m	;
reserver 	X	L	26j_00h00m	26j_20h00m	;
reserver 	N	I	27j_05h00m	27j_17h00m	;
reserver 	W	X	28j_07h00m	29j_22h00m	;
reserver 	F	D	29j_23h00m	31j_09h00m	;
reserver 	I	S	31j_17h00m	32j_09h00m	;
reserver 	G	O	33j_06h00m	34j_14h00m	;
reserver 	F	E	36j_09h00m	37j_12h00m	;
reserver 	G	H	38j_08h00m	39j_12h00m	;
reserver 	J	U	41j_11h00m	42j_06h00m	;
reserver 	Q	A	42j_13h00m	44j_09h00m	;
reserver 	C	U	45j_11h00m	47j_02h00m	;
reserver 	H	A	47j_21h00m	48j_10h00m	;
reserver 	J	Y	50j_10h00m	51j_11h00m	;
reserver 	I	C	53j_04h00m	54j_14h00m	;
reserver 	D	H	54j_15h00m	56j_03h00m	;
reserver 	D	J	56j_11h00m	58j_08h00m	;
reserver 	P	X	59j_20h00m	61j_15h00m	;
reserver 	T	O	63j_05h00m	64j_16h00m	;
reserver 	Y	V	66j_05h00m	68j_03h00m	;
reserver 	M	G	68j_03h00m	70j_02h00m	;
reserver 	Y	T	70j_16h00m	72j_01h00m	;
reserver 	J	M	73j_19h00m	74j_21h00m	;
reserver 	O	T	76j_09h00m	77j_03h00m	;
reserver 	X	H	77j_14h00m	78j_13h00m	;
reserver 	A	M	79j_15h00m	80j_16h00m	;
reserver 	C	R	82j_01h00m	83j_08h00m	;
reserver 	M	X	85j_05h00m	86j_09h00m	;
reserver 	W	P	87j_14h00m	89j_03h00m	;
reserver 	T	C	91j_03h00m	92j_21h00m	;
reserver 	A	L	94j_21h00m	95j_13h00m	;
reserver 	E	P	95j_19h00m	97j_12h00m	;
reserver 	C	S	97j_16h00m	99j_13h00m	;
reserver 	X	K	100j_07h00m	101j_09h00m	;
reserver 	L	L	103j_08h00m	105j_08h00m	;
reserver 	E	F	106j_17h00m	108j_01h00m	;
reserver 	X	A	109j_00h00m	109j_17h00m	;
reserver 	A	U	111j_16h00m	113j_07h00m	;
reserver 	B	D	113j_17h00m	114j_08h00m	;
reserver 	Z	I	114j_19h00m	115j_21h00m	;
reserver 	I	Y	117j_20h00m	118j_18h00m	;
reserver 	Z	Y	120j_10h00m	121j_13h00m	;
reserver 	P	X	122j_20h00m	124j_08h00m	;
reserver 	M	X	125j_03h00m	125j_21h00m	;
reserver 	H	M	126j_08h00m	126j_21h00m	;
reserver 	S	E	128j_03h00m	129j_19h00m	;
reserver 	N	G	130j_19h00m	132j_14h00m	;
reserver 	D	K	134j_08h00m	136j_05h00m	;
reserver 	E	E	137j_21h00m	139j_13h00m	;
reserver 	X	S	140j_12h01m	141j_08h01m	;
reserver 	U	P	142j_12h01m	143j_22h01m	;
reserver 	O	S	145j_05h01m	146j_12h01m	;
reserver 	D	O	146j_17h01m	148j_13h01m	;
reserver 	Q	X	148j_17h01m	149j_23h01m	;
reserver 	L	Z	151j_03h01m	152j_06h01m	;
reserver 	E	G	154j_01h01m	154j_15h01m	;
reserver 	G	J	154j_19h01m	156j_04h01m	;
reserver 	G	I	157j_12h01m	158j_03h01m	;
reserver 	A	Z	159j_21h01m	160j_16h01m	;
reserver 	T	X	162j_07h01m	162j_22h01m	;
reserver 	G	V	164j_10h01m	165j_03h01m	;
reserver 	V	P	165j_03h01m	166j_20h01m	;
reserver 	B	O	168j_04h01m	169j_15h01m	;
reserver 	G	O	169j_20h01m	171j_10h01m	;
reserver 	X	F	173j_08h01m	174j_12h01m	;
reserver 	W	F	175j_05h01m	176j_10h01m	;
reserver 	L	K	177j_10h01m	177j_22h01m	;
reserver 	V	W	179j_19h01m	181j_15h01m	;
reserver 	C	F	183j_05h01m	184j_05h01m	;
reserver 	V	A	186j_05h01m	188j_04h01m	;
reserver 	V	M	189j_20h01m	190j_12h01m	;
reserver 	S	K	190j_12h01m	191j_20h01m	;
reserver 	X	L	192j_13h01m	193j_22h01m	;
reserver 	V	R	195j_00h01m	196j_15h01m	;
