creer	A	1	5	;
creer	B	3	3	;
creer	C	5	1	;
creer	D	1	4	;
creer	E	5	0	;
creer	F	5	4	;
creer	G	0	2	;
creer	H	3	2	;
creer	I	5	0	;
creer	J	3	4	;
reserver 	B	G	8j_11h00m	24j_11h30m	;
reserver 	G	I	0j_13h00m	18j_08h00m	;
reserver 	G	D	10j_04h30m	21j_22h30m	;
reserver 	D	I	10j_21h30m	13j_23h30m	;
reserver 	E	J	10j_14h30m	11j_11h00m	;
reserver 	B	J	9j_13h00m	22j_19h30m	;
reserver 	C	I	5j_21h00m	21j_14h00m	;
reserver 	G	C	9j_22h30m	14j_10h30m	;
reserver 	C	F	2j_00h30m	7j_14h00m	;
reserver 	G	H	12j_23h00m	26j_12h00m	;
reserver 	G	E	9j_07h30m	27j_16h00m	;
reserver 	C	H	1j_11h30m	20j_00h00m	;
reserver 	C	A	0j_17h00m	7j_08h00m	;
reserver 	B	A	12j_05h30m	17j_22h30m	;
reserver 	A	B	6j_02h30m	12j_18h00m	;
reserver 	I	F	5j_05h00m	13j_16h00m	;
reserver 	J	J	12j_07h30m	25j_15h00m	;
reserver 	B	E	4j_15h30m	9j_12h00m	;
reserver 	D	I	9j_16h00m	19j_10h00m	;
reserver 	E	F	4j_08h00m	12j_23h00m	;
reserver 	F	A	10j_10h00m	13j_04h30m	;
reserver 	H	J	3j_08h30m	8j_11h00m	;
reserver 	J	H	9j_21h30m	20j_12h30m	;
reserver 	B	I	13j_09h00m	25j_07h30m	;
reserver 	B	H	1j_18h30m	18j_05h30m	;
reserver 	G	A	13j_19h00m	33j_15h30m	;
reserver 	J	F	4j_18h00m	9j_01h30m	;
reserver 	A	A	3j_23h30m	16j_01h30m	;
reserver 	I	H	3j_00h30m	3j_13h30m	;
reserver 	H	H	4j_16h30m	20j_19h30m	;
reserver 	B	C	7j_00h30m	10j_04h30m	;
reserver 	A	D	8j_18h30m	19j_12h30m	;
reserver 	G	E	12j_06h30m	18j_12h30m	;
reserver 	A	C	9j_12h30m	29j_04h30m	;
reserver 	H	E	3j_21h00m	21j_21h30m	;
reserver 	H	D	12j_21h00m	16j_22h30m	;
reserver 	J	B	2j_18h30m	22j_05h00m	;
reserver 	A	A	2j_10h30m	13j_22h30m	;
reserver 	D	A	4j_15h00m	13j_23h00m	;
reserver 	J	E	2j_04h00m	17j_05h30m	;
