creer	A	0	3	;
creer	B	4	5	;
creer	C	0	0	;
creer	D	1	1	;
creer	E	5	2	;
creer	F	5	1	;
creer	G	2	5	;
creer	H	4	4	;
creer	I	1	0	;
creer	J	2	2	;
creer	K	3	5	;
creer	L	0	1	;
creer	M	1	3	;
creer	N	5	0	;
creer	O	2	0	;
creer	P	2	1	;
creer	Q	2	5	;
creer	R	3	4	;
creer	S	4	3	;
creer	T	3	1	;
creer	U	4	1	;
creer	V	4	4	;
creer	W	5	1	;
creer	X	1	3	;
creer	Y	2	4	;
creer	Z	3	0	;
reserver 	F	M	13j_18h30m	33j_04h30m	;
reserver 	Q	Q	4j_16h30m	23j_13h30m	;
reserver 	D	D	3j_08h30m	18j_21h30m	;
reserver 	W	Q	2j_19h00m	21j_21h00m	;
reserver 	C	A	13j_13h30m	24j_13h30m	;
reserver 	Y	E	0j_20h00m	16j_11h30m	;
reserver 	A	R	5j_06h00m	5j_21h30m	;
reserver 	P	X	13j_16h30m	15j_18h30m	;
reserver 	P	R	13j_14h30m	33j_14h30m	;
reserver 	E	V	7j_07h00m	15j_22h00m	;
reserver 	Z	V	4j_21h00m	19j_10h30m	;
reserver 	S	W	9j_16h30m	16j_07h30m	;
reserver 	N	F	9j_16h00m	27j_16h00m	;
reserver 	N	K	3j_02h00m	12j_12h30m	;
reserver 	C	B	0j_16h30m	11j_23h30m	;
reserver 	N	P	14j_12h00m	33j_06h00m	;
reserver 	M	R	13j_00h00m	21j_08h00m	;
reserver 	H	I	6j_23h30m	11j_18h00m	;
reserver 	Z	Z	10j_04h30m	29j_14h30m	;
reserver 	Z	O	2j_18h00m	5j_19h00m	;
reserver 	Z	F	8j_13h30m	27j_08h00m	;
reserver 	G	L	10j_04h00m	16j_22h00m	;
reserver 	N	G	14j_05h30m	19j_12h30m	;
reserver 	S	S	2j_03h30m	12j_17h00m	;
reserver 	C	V	4j_15h30m	9j_18h00m	;
reserver 	P	F	13j_11h00m	26j_04h30m	;
reserver 	M	M	4j_16h30m	24j_15h00m	;
reserver 	S	F	7j_16h00m	26j_03h00m	;
reserver 	K	O	8j_21h00m	16j_18h00m	;
reserver 	Y	Y	5j_10h30m	13j_05h30m	;
reserver 	G	G	6j_13h30m	9j_14h00m	;
reserver 	R	U	13j_11h00m	22j_13h30m	;
reserver 	U	U	9j_18h00m	18j_03h00m	;
reserver 	K	N	2j_14h30m	3j_20h00m	;
reserver 	D	P	14j_09h30m	27j_15h00m	;
reserver 	T	V	11j_21h00m	28j_04h30m	;
reserver 	I	I	2j_14h30m	16j_16h00m	;
reserver 	S	M	11j_23h00m	22j_00h00m	;
reserver 	A	B	6j_14h00m	12j_05h30m	;
reserver 	Q	R	10j_16h00m	25j_02h30m	;
reserver 	R	R	4j_21h00m	15j_07h00m	;
reserver 	C	P	8j_18h30m	25j_20h00m	;
reserver 	N	J	9j_09h30m	28j_00h00m	;
reserver 	Q	E	12j_03h00m	17j_22h30m	;
reserver 	X	E	3j_15h30m	22j_10h00m	;
reserver 	H	G	14j_07h30m	30j_16h00m	;
reserver 	E	U	15j_07h30m	32j_07h00m	;
reserver 	I	X	10j_04h00m	30j_04h30m	;
reserver 	Q	R	9j_02h00m	15j_05h30m	;
reserver 	T	I	11j_08h00m	29j_04h00m	;
reserver 	N	N	11j_19h30m	15j_12h00m	;
reserver 	L	D	13j_16h30m	18j_16h30m	;
reserver 	G	T	15j_09h00m	19j_17h00m	;
reserver 	M	D	8j_10h00m	25j_03h30m	;
reserver 	N	N	3j_15h30m	24j_05h30m	;
reserver 	K	K	9j_22h30m	14j_10h30m	;
reserver 	M	W	8j_07h30m	20j_23h30m	;
reserver 	P	P	6j_16h30m	15j_08h30m	;
reserver 	V	W	14j_15h00m	16j_09h30m	;
reserver 	R	H	7j_18h30m	27j_03h00m	;
reserver 	R	N	11j_21h30m	27j_08h30m	;
reserver 	X	J	11j_15h00m	27j_16h30m	;
reserver 	R	L	3j_01h30m	3j_16h30m	;
reserver 	J	S	5j_18h30m	6j_09h30m	;
reserver 	P	L	4j_17h00m	5j_05h00m	;
reserver 	K	I	12j_06h30m	13j_07h30m	;
reserver 	Y	J	14j_08h30m	16j_12h00m	;
reserver 	L	L	15j_17h00m	29j_19h00m	;
reserver 	W	N	3j_14h30m	19j_13h30m	;
reserver 	C	W	11j_02h00m	18j_00h00m	;
reserver 	X	P	4j_09h00m	17j_23h30m	;
reserver 	B	B	9j_16h30m	13j_10h00m	;
reserver 	U	F	9j_15h00m	29j_19h30m	;
reserver 	V	X	15j_00h30m	35j_19h30m	;
reserver 	R	O	5j_05h30m	17j_14h30m	;
reserver 	M	H	13j_18h30m	18j_18h00m	;
reserver 	E	K	13j_13h30m	31j_01h30m	;
reserver 	V	V	13j_12h30m	32j_22h30m	;
reserver 	T	O	5j_13h00m	13j_18h00m	;
reserver 	J	U	11j_12h00m	16j_23h00m	;
reserver 	U	N	15j_14h00m	27j_09h30m	;
reserver 	Z	B	5j_22h30m	24j_19h30m	;
reserver 	L	N	12j_18h30m	14j_10h30m	;
reserver 	H	Y	7j_16h00m	16j_00h00m	;
reserver 	Z	Q	3j_12h30m	4j_00h30m	;
reserver 	R	R	5j_04h00m	12j_14h30m	;
reserver 	Z	B	15j_04h30m	17j_21h00m	;
reserver 	B	B	16j_07h30m	27j_03h30m	;
reserver 	F	V	9j_11h30m	12j_21h30m	;
reserver 	T	R	16j_01h00m	36j_10h00m	;
reserver 	I	I	5j_01h00m	20j_11h30m	;
reserver 	D	I	9j_01h30m	27j_20h30m	;
