creer	A	4	3	;
creer	B	0	3	;
creer	C	2	4	;
creer	D	5	5	;
creer	E	4	0	;
creer	F	2	2	;
creer	G	1	5	;
creer	H	5	5	;
creer	I	4	5	;
creer	J	1	5	;
creer	K	4	0	;
creer	L	1	5	;
creer	M	3	2	;
creer	N	0	3	;
creer	O	3	2	;
creer	P	4	3	;
creer	Q	1	0	;
creer	R	2	1	;
creer	S	5	4	;
creer	T	1	3	;
creer	U	1	4	;
creer	V	1	5	;
creer	W	3	1	;
creer	X	1	2	;
creer	Y	3	2	;
creer	Z	2	4	;
reserver 	P	P	12j_09h00m	17j_22h00m	;
reserver 	H	H	6j_21h00m	15j_02h30m	;
reserver 	B	B	4j_05h00m	18j_05h00m	;
reserver 	T	T	12j_23h30m	15j_12h00m	;
reserver 	D	D	10j_02h30m	27j_02h00m	;
reserver 	C	C	7j_06h00m	14j_01h30m	;
reserver 	X	X	1j_04h30m	2j_19h30m	;
reserver 	L	L	12j_07h00m	16j_13h30m	;
reserver 	L	L	3j_16h00m	22j_17h00m	;
reserver 	H	H	2j_04h30m	7j_19h30m	;
reserver 	F	F	7j_08h00m	11j_16h30m	;
reserver 	R	R	10j_22h00m	19j_07h30m	;
reserver 	G	G	3j_13h30m	6j_19h30m	;
reserver 	D	D	4j_13h00m	25j_07h30m	;
reserver 	U	U	12j_02h30m	26j_03h30m	;
reserver 	P	P	7j_13h00m	26j_05h30m	;
reserver 	A	A	8j_19h30m	27j_02h00m	;
reserver 	E	E	12j_22h30m	29j_05h30m	;
reserver 	L	L	13j_22h30m	25j_08h00m	;
reserver 	O	O	5j_11h30m	19j_09h30m	;
reserver 	C	C	2j_05h00m	18j_01h30m	;
reserver 	R	R	13j_10h30m	25j_19h00m	;
reserver 	V	V	9j_07h30m	28j_15h00m	;
reserver 	Y	Y	6j_02h30m	18j_16h30m	;
reserver 	O	O	4j_23h00m	10j_01h30m	;
reserver 	T	T	11j_19h30m	24j_15h30m	;
reserver 	L	L	3j_05h00m	9j_15h30m	;
reserver 	K	K	10j_05h00m	11j_01h30m	;
reserver 	F	F	2j_18h00m	16j_06h30m	;
reserver 	J	J	10j_18h00m	28j_18h30m	;
reserver 	C	C	14j_22h00m	35j_14h00m	;
reserver 	T	T	9j_18h30m	16j_09h30m	;
reserver 	O	O	4j_03h30m	18j_16h30m	;
reserver 	U	U	6j_22h00m	12j_09h30m	;
reserver 	D	D	7j_00h00m	13j_20h00m	;
reserver 	H	H	13j_04h00m	28j_07h30m	;
reserver 	I	I	7j_02h00m	8j_02h00m	;
reserver 	I	I	11j_12h30m	32j_06h00m	;
reserver 	Z	Z	13j_04h00m	31j_20h00m	;
reserver 	H	H	9j_07h30m	15j_17h30m	;
reserver 	F	F	7j_15h30m	13j_21h30m	;
reserver 	Z	Z	3j_06h30m	5j_12h00m	;
reserver 	J	J	9j_01h30m	22j_02h00m	;
reserver 	Q	Q	10j_09h30m	30j_10h00m	;
reserver 	V	V	11j_17h30m	32j_09h00m	;
reserver 	Q	Q	11j_08h30m	13j_16h30m	;
reserver 	A	A	14j_16h00m	23j_07h30m	;
reserver 	E	E	6j_23h00m	17j_17h30m	;
reserver 	F	F	13j_03h00m	18j_06h30m	;
reserver 	N	N	9j_17h30m	22j_09h30m	;
reserver 	G	G	11j_03h00m	18j_00h00m	;
reserver 	N	N	12j_15h00m	15j_13h00m	;
reserver 	Z	Z	8j_10h00m	23j_23h30m	;
reserver 	R	R	8j_10h00m	17j_05h30m	;
reserver 	D	D	14j_00h30m	29j_12h00m	;
reserver 	B	B	14j_14h00m	18j_23h30m	;
reserver 	T	T	6j_15h00m	9j_16h30m	;
reserver 	X	X	4j_06h30m	25j_06h00m	;
reserver 	F	F	15j_22h00m	21j_10h00m	;
reserver 	Q	Q	10j_07h30m	19j_20h30m	;
reserver 	K	K	12j_08h30m	32j_00h00m	;
reserver 	M	M	15j_05h00m	26j_23h00m	;
reserver 	N	N	5j_17h00m	22j_06h00m	;
reserver 	H	H	15j_04h00m	22j_14h00m	;
reserver 	Z	Z	7j_13h30m	8j_16h00m	;
reserver 	L	L	12j_04h30m	17j_21h00m	;
reserver 	R	R	3j_03h00m	22j_20h30m	;
